,0,1,2
341,ᳬ,VEDIC SIGN ANUSVARA VAMAGOMUKHA WITH TAIL (U+1CEC),e1b3ac
342,᳭,VEDIC SIGN TIRYAK (U+1CED),e1b3ad
343,ᳮ,VEDIC SIGN HEXIFORM LONG ANUSVARA (U+1CEE),e1b3ae
344,ᳯ,VEDIC SIGN LONG ANUSVARA (U+1CEF),e1b3af
345,ᳰ,VEDIC SIGN RTHANG LONG ANUSVARA (U+1CF0),e1b3b0
346,ᳱ,VEDIC SIGN ANUSVARA UBHAYATO MUKHA (U+1CF1),e1b3b1
347,ᳲ,VEDIC SIGN ARDHAVISARGA (U+1CF2),e1b3b2
348,ᳳ,VEDIC SIGN ROTATED ARDHAVISARGA (U+1CF3),e1b3b3
349,᳴,VEDIC TONE CANDRA ABOVE (U+1CF4),e1b3b4
350,ᳵ,VEDIC SIGN JIHVAMULIYA (U+1CF5),e1b3b5
351,ᳶ,VEDIC SIGN UPADHMANIYA (U+1CF6),e1b3b6
352,᳷,VEDIC SIGN ATIKRAMA (U+1CF7),e1b3b7
353,᳸,VEDIC TONE RING ABOVE (U+1CF8),e1b3b8
354,᳹,VEDIC TONE DOUBLE RING ABOVE (U+1CF9),e1b3b9
